StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Section,Q1,Q2,Q3,Q5,Q6,Q6_7_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10_1,Q10_2,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6
##########,##########,IP Address,,100,329,TRUE,##########,R_1duY4nT5i1IBvZi,,,,,,,anonymous,EN,2,,pessimistic-cilantro,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It fulfilled another requirement,Curiosity or interest in computer science",,"Took other AP courses,Engaged in software or hardware related projects",Senior,,I have declared a major,,,No,Psychology,,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Rarely,Rarely,Often,Sometimes,Sometimes,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,400,TRUE,##########,R_325wwrt2dvlHo4Z,,,,,,,anonymous,EN,2,,tacky-tangerine,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Calculus AB,Took other AP courses",Sophomore,,I have not declared a major,Strongly agree,Neither agree nor disagree,No,NA,,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Rarely,Sometimes,Always,Often,Often,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree
##########,##########,IP Address,,100,596,TRUE,##########,R_3nf373NPyNaLL3B,,,,,,,anonymous,EN,2,,joyous-topinambur,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took AP Calculus AB,Took other AP courses",Senior,,"I have declared a major,I have declared a minor",,,No,Studio Art,EAS,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Sometimes,Always,Often,Sometimes,Sometimes,Between 5 and 10 hours,Between 1 and 2 hours,More than 10 hours,Less than 1 hour,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,5894,TRUE,##########,R_2ysdxOrxeOHbWJf,,,,,,,anonymous,EN,2,,barren-banana,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It fulfilled another requirement,Curiosity or interest in computer science",,"Took a computer science or programming course not associated with AP or dual enrollment,Engaged in software or hardware related projects",Junior,,"I have declared a major,I have declared a second major",,,No,Film and Media Studies,Second Major: English,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Often,Sometimes,Often,Sometimes,Sometimes,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,554,TRUE,##########,R_24f4ciiqvC7nVbX,,,,,,,anonymous,EN,3,,defenseless-loquat,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to",,,Sophomore,,I have not declared a major,Strongly disagree,Somewhat disagree,No,NA,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Never,Often,Often,Often,Never,Between 5 and 10 hours,Between 5 and 10 hours,Between 5 and 10 hours,Between 1 and 5 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
##########,##########,IP Address,,100,306,TRUE,##########,R_pGxSjNTTCqQDSVj,,,,,,,anonymous,EN,3,,pious-satsuma,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,A teacher or other mentor encouraged me to",,"Took AP Calculus BC,Took other dual enrollment courses,Took a computer science or programming course not associated with AP or dual enrollment",Sophomore,,I have not declared a major,Neither agree nor disagree,Neither agree nor disagree,No,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Sometimes,Rarely,Never,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,250,TRUE,##########,R_1QskxBwDL0lBot6,,,,,,,anonymous,EN,3,,puzzled-rambutan,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to",,,Sophomore,,I have not declared a major,Somewhat disagree,Neither agree nor disagree,No,na,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Always,Often,Often,Often,More than 10 hours,Between 5 and 10 hours,More than 10 hours,Between 5 and 10 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,303,TRUE,##########,R_3EmwX0R75t6wkVS,,,,,,,anonymous,EN,3,,zealous-lentils,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,,Sophomore,,I have not declared a major,Somewhat disagree,Somewhat disagree,No,NA,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Often,Often,Between 5 and 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,507,TRUE,##########,R_3n77filKPdo1wbP,,,,,,,anonymous,EN,3,,expectant-eggplant,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to",,"Took AP Calculus AB,Took other AP courses",Junior,,I have declared a major,,,No,,,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Often,Rarely,Often,Rarely,Rarely,Between 1 and 5 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,667,TRUE,##########,R_2wyOqm6hKVtc0wU,,,,,,,anonymous,EN,2,,gentle-calabrese,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,Took a computer science or programming course not associated with AP or dual enrollment,Junior,,I have declared a major,,,No,Engineering,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Always,Often,Always,Always,Between 5 and 10 hours,Between 5 and 10 hours,More than 10 hours,More than 10 hours,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,399,TRUE,##########,R_2w6vGBfrGuhCtr0,,,,,,,anonymous,EN,1,,detached-turnip,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,,Sophomore,,I have not declared a major,Somewhat disagree,Strongly agree,No,,,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Often,Often,Often,Sometimes,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Between 1 and 2 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree
##########,##########,IP Address,,100,375,TRUE,##########,R_2CqQ2xYrjCV87so,,,,,,,anonymous,EN,2,,confident-parsley,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took AP Computer Science Principles,Took AP Calculus AB,Took other AP courses",First Year,,I have not declared a major,Strongly agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Often,Sometimes,Often,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
##########,##########,IP Address,,100,531,TRUE,##########,R_3qQE7QZKvjMw8KM,,,,,,,anonymous,EN,1,,punished-breadfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It fulfilled another requirement,,"Took AP Calculus AB,Took AP Calculus BC,Took other AP courses",Junior,,I have declared a second major,,,No,Art History,East Asian Studies,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Often,Always,Always,Always,Sometimes,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
##########,##########,IP Address,,100,2193,TRUE,##########,R_2S3vHFaQGNd3PBb,,,,,,,anonymous,EN,3,,blamed-rosemary,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Calculus AB,Took AP Calculus BC,Took other AP courses",Sophomore,,I have not declared a major,Somewhat disagree,Somewhat disagree,No,n/a,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Rarely,Sometimes,Less than 1 hour,Between 1 and 2 hours,Between 1 and 2 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,352,TRUE,##########,R_1M6spUmf89otlFT,,,,,,,anonymous,EN,3,,tame-quince,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,Took AP Calculus BC,First Year,,I have not declared a major,Somewhat agree,Somewhat agree,No,NA,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Always,Sometimes,Always,Often,Sometimes,More than 10 hours,Between 1 and 5 hours,More than 10 hours,Between 1 and 5 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
##########,##########,IP Address,,100,563,TRUE,##########,R_2bH9939nXdLv1yd,,,,,,,anonymous,EN,3,,didactic-dragonfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Calculus AB,Took other AP courses,Engaged in software or hardware related projects,Took part in student groups related to computer science",Sophomore,,I have not declared a major,Strongly disagree,Somewhat disagree,No,NA,,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Always,Often,Always,Sometimes,Between 5 and 10 hours,Less than 1 hour,More than 10 hours,Less than 1 hour,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,485,TRUE,##########,R_2X6ABsUq53MsXxA,,,,,,,anonymous,EN,2,,carefree-raspberry,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,Took a computer science or programming course not associated with AP or dual enrollment,Sophomore,,I have not declared a major,Somewhat disagree,Somewhat agree,No,NA,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Rarely,Sometimes,Often,Sometimes,Rarely,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,389,TRUE,##########,R_2bHpgNLFLp4tngw,,,,,,,anonymous,EN,2,,tested-nectarine,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It fulfilled another requirement,Curiosity or interest in computer science,My parents encouraged me to",,Took a computer science or programming course not associated with AP or dual enrollment,Other (Please specify),Second semester junior,"I have declared a major,I have declared a second major",,,No,Math,Education,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Sometimes,Never,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree
##########,##########,IP Address,,100,746,TRUE,##########,R_shgPijH85lecVep,,,,,,,anonymous,EN,3,,disgraced-beet,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,"Took AP Calculus AB,Took AP Calculus BC,Took other AP courses",Sophomore,,I have not declared a major,Neither agree nor disagree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Often,Always,Rarely,Rarely,More than 10 hours,Less than 1 hour,More than 10 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
##########,##########,IP Address,,100,361,TRUE,##########,R_2cnZmklLYGHhFMw,,,,,,,anonymous,EN,2,,awkward-dragonfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,"Took AP Calculus AB,Took AP Calculus BC",Sophomore,,I have not declared a major,Strongly agree,Strongly disagree,No,Mathematics,,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Never,Always,Always,Sometimes,Often,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,486,TRUE,##########,R_2DMJzJHj9iqh9jj,,,,,,,anonymous,EN,1,,inflated-passionfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Computer Science A,Took AP Computer Science Principles,Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses,Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects,Took part in student groups related to computer science",First Year,,I have not declared a major,Strongly agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Rarely,Sometimes,Often,Sometimes,Often,Between 5 and 10 hours,Between 1 and 2 hours,More than 10 hours,Between 1 and 5 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
##########,##########,IP Address,,82,389,FALSE,##########,R_tEhiYYV3kpPQQMx,,,,,,,anonymous,EN,1,,dignified-sage,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses,Took part in student groups related to computer science",First Year,,I have not declared a major,Strongly disagree,Somewhat disagree,No,Math,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Sometimes,Rarely,Sometimes,Rarely,Often,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,904,TRUE,##########,R_2PAtPNqzJm3R8tu,,,,,,,anonymous,EN,3,,fine-dragonfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,"Took AP Calculus AB,Took dual enrollment courses in computer science,Took other dual enrollment courses",Sophomore,,I have not declared a major,Somewhat agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Often,Sometimes,Never,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Between 1 and 2 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree
##########,##########,IP Address,,100,274,TRUE,##########,R_24N2Y7ivnVsi530,,,,,,,anonymous,EN,3,,questioned-banana,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took a computer science or programming course not associated with AP or dual enrollment,Took part in student groups related to computer science",Sophomore,,I have not declared a major,Somewhat agree,Strongly agree,No,NA,,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Rarely,Always,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
