StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,section,Q1.1,Q1.2,Q1.3,Q1.4,Q2.2,Q3.1,Q3.1_7_TEXT,Q3.2,Q3.3,Q3.3_6_TEXT,Q3.4_1,Q3.5_1,Q3.6,Q3.7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.2_7,Q6.2_8,Q6.2_9,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q7.3_6,Q7.4_1,Q7.4_2,Q7.4_3,Q7.4_4,Q7.4_5,Q7.4_6,Q7.4_7
##########,##########,IP Address,,100,531,TRUE,##########,,,,,,,,email,EN,1,,canary-eggplant,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took AP Calculus AB,Took AP Calculus BC,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)",Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Quantitative Economics,SDS,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Often,Often,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Between 1 and 5 hours,Less than 1 hour,Between 1 and 2 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,553,TRUE,##########,,,,,,,,email,EN,1,,canary-elderberry,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,It helped build my computer science skills for my other interests",,"Took AP Calculus AB,Took other AP courses",Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,ENV,MST (double major),Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Always,Often,Often,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Between 1 and 5 hours,Between 1 and 5 hours,Between 5 and 10 hours,Between 1 and 5 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,320,TRUE,##########,,,,,,,,email,EN,1,,cerulean-chickpea,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,Took other AP courses,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,SDS,NA,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,Often,Always,Always,Often,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Between 1 and 2 hours,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
##########,##########,IP Address,,100,358,TRUE,##########,,,,,,,,email,EN,1,,chestnut-cilantro,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Chemistry,NA,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Always,Rarely,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,275,TRUE,##########,,,,,,,,email,EN,1,,eggplant-rutabaga,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Architecture,SDS,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Always,Always,Always,Always,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,More than 10 hours,Between 5 and 10 hours,Between 5 and 10 hours,Between 5 and 10 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
##########,##########,IP Address,,100,525,TRUE,##########,,,,,,,,email,EN,1,,goldenrod-dill,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Calculus AB,Took other AP courses",First Year,,I lean towards Declaring a CS Major,I might or might not declare a CS Minor,NA,Engineering,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Never,Always,Always,Always,Often,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Between 1 and 2 hours,Between 1 and 2 hours,Between 1 and 5 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree
##########,##########,IP Address,,65,238,FALSE,##########,,,,,,,,email,EN,1,,lavender-asparagus,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,NA,NA,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,641,TRUE,##########,,,,,,,,email,EN,1,,magenta-jalapeno,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,It fulfilled another requirement,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I lean towards NOT Declaring a CS Major,I am sure that I will NOT Declare a CS Minor,NA,NA,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Always,Always,Always,Sometimes,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,More than 10 hours,Less than 1 hour,More than 10 hours,Between 5 and 10 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,491,TRUE,##########,,,,,,,,email,EN,1,,manatee-lime,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,,First Year,,I lean towards NOT Declaring a CS Major,I lean towards NOT Declaring a CS Minor,NA,NA,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Rarely,Always,Often,Sometimes,Always,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,More than 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
##########,##########,IP Address,,100,43657,TRUE,##########,,,,,,,,email,EN,1,,peach-frisee,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I might or might not declare a CS major,I might or might not declare a CS Minor,Engineering Science,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Often,Often,Often,Often,Often,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 5 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,319,TRUE,##########,,,,,,,,email,EN,1,,razzmatazz-artichoke,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Chemistry,SDS,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Sometimes,Sometimes,Always,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Between 5 and 10 hours,Between 1 and 5 hours,More than 10 hours,Between 1 and 5 hours,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,754,TRUE,##########,,,,,,,,email,EN,1,,razzmatazz-cabbage,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses",Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Statistical & Data Sciences,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Always,Sometimes,Often,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,400,TRUE,##########,,,,,,,,email,EN,1,,red-jambul,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,Took AP Computer Science Principles,Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Geosciences,NA,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Rarely,Sometimes,Always,Sometimes,Always,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Between 1 and 5 hours,Between 1 and 5 hours,Between 5 and 10 hours,Between 1 and 2 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,703,TRUE,##########,,,,,,,,email,EN,1,,red-radish,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Calculus AB,Took AP Calculus BC,Took other AP courses",Sophomore,,I am sure that I will NOT Declare a CS Major,I lean towards NOT Declaring a CS Minor,Engineering,Archaeology,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Rarely,Sometimes,Rarely,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,141,TRUE,##########,,,,,,,,email,EN,1,,scarlet-gooseberry,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,Took AP Calculus BC,First Year,,I lean towards Declaring a CS Major,I am sure that I will NOT Declare a CS Minor,Quantitative econonomics,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Often,Always,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Between 1 and 5 hours,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,65,46417,FALSE,##########,,,,,,,,email,EN,1,,sunglow-nectarine,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,A teacher or other mentor encouraged me to",,"Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses",First Year,,I lean towards NOT Declaring a CS Major,I lean towards Declaring a CS Minor,NA,NA,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,308,TRUE,##########,,,,,,,,email,EN,1,,tumbleweed-cranberry,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It fulfilled another requirement,,,Junior,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Education and Child Study,Psychology,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Often,Often,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Between 1 and 2 hours,Between 1 and 2 hours,Between 1 and 5 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,656,TRUE,##########,,,,,,,,email,EN,1,,violet-kumquat,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,,First Year,,I lean towards NOT Declaring a CS Major,I lean towards NOT Declaring a CS Minor,NA,NA,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Often,Often,Often,Sometimes,Sometimes,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 2 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
##########,5/1/23 9:35,IP Address,,100,302381,TRUE,5/1/23 9:35,,,,,,,,email,EN,1,,yellow-eggplant,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Calculus BC,Took other AP courses,Took a computer science or programming course not associated with AP or dual enrollment,Took part in student groups related to computer science",First Year,,I lean towards NOT Declaring a CS Major,I lean towards NOT Declaring a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Often,Often,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Between 5 and 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,1401,TRUE,##########,,,,,,,,anonymous,EN,2,,almond-lychee,,Section 2: 9:25 AM - 10:40 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,,First Year,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,NA,NA,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Often,Always,Always,Sometimes,Always,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,More than 10 hours,Between 1 and 5 hours,More than 10 hours,More than 10 hours,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,460,TRUE,##########,,,,,,,,email,EN,2,,apricot-tamarillo,,Section 2: 9:25 AM - 10:40 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Computer Science Principles,Took AP Calculus BC,Took other AP courses",Sophomore,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Quantitative Economics,Planning to minor in SDS,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Sometimes,Often,Often,Sometimes,Often,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
