"","key","Section","Question1","Question3","Question5","Question6","Question6_7_TEXT","Question7","Question8","Question8_6_TEXT","Question9","Question10_1","Question10_2","Question11","Question12","Question13","Question14_1","Question14_2","Question14_3","Question15_1","Question15_2","Question15_3","Question15_4","Question15_5","Question15_6","Question15_7","Question15_8","Question15_9","Question16_1","Question16_2","Question16_3","Question16_4","Question16_5","Question17_1","Question17_2","Question17_3","Question17_4","Question17_5","Question18_1","Question18_2","Question18_3","Question18_4","Question19_1","Question19_2","Question19_3","Question19_4","Question20_1","Question20_2","Question20_3","Question20_4","Question21_1","Question21_2","Question21_3","Question21_4","Question22_1","Question22_2","Question22_3","Question22_4","Question22_5","Question22_6"
"13","joyous-topinambur",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses","Senior","","I have declared a major,I have declared a minor","","","No","Studio Art","EAS","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Sometimes","Always","Often","Sometimes","Sometimes","Between 5 and 10 hours","Between 1 and 2 hours","More than 10 hours","Less than 1 hour","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"14","barren-banana",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,Curiosity or interest in computer science","","Took a computer science or programming course not associated with AP or dual enrollment,Engaged in software or hardware related projects","Junior","","I have declared a major,I have declared a second major","","","No","Film and Media Studies","Second Major: English","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Often","Sometimes","Often","Sometimes","Sometimes","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"15","defenseless-loquat",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to","","","Sophomore","","I have not declared a major","Strongly disagree","Somewhat disagree","No",NA,"","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Never","Often","Often","Often","Never","Between 5 and 10 hours","Between 5 and 10 hours","Between 5 and 10 hours","Between 1 and 5 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"16","pious-satsuma",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","Took AP Calculus BC,Took other dual enrollment courses,Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I have not declared a major","Neither agree nor disagree","Neither agree nor disagree","No","","","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Sometimes","Rarely","Sometimes","Rarely","Never","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree"
"17","puzzled-rambutan",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to","","","Sophomore","","I have not declared a major","Somewhat disagree","Neither agree nor disagree","No","na","","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Always","Often","Often","Often","More than 10 hours","Between 5 and 10 hours","More than 10 hours","Between 5 and 10 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"18","zealous-lentils",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat disagree","No",NA,"","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Often","Often","Between 5 and 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"19","expectant-eggplant",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","Took AP Calculus AB,Took other AP courses","Junior","","I have declared a major","","","No","","","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Often","Rarely","Often","Rarely","Rarely","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree"
"20","gentle-calabrese",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took a computer science or programming course not associated with AP or dual enrollment","Junior","","I have declared a major","","","No","Engineering","","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Rarely","Always","Often","Always","Always","Between 5 and 10 hours","Between 5 and 10 hours","More than 10 hours","More than 10 hours","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"21","detached-turnip",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","Sophomore","","I have not declared a major","Somewhat disagree","Strongly agree","No","","","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Often","Often","Sometimes","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree"
"22","confident-parsley",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Computer Science Principles,Took AP Calculus AB,Took other AP courses","First Year","","I have not declared a major","Strongly agree","Neither agree nor disagree","No",NA,"","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Rarely","Sometimes","Often","Sometimes","Often","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree"
"23","punished-breadfruit",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Junior","","I have declared a second major","","","No","Art History","East Asian Studies","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Often","Always","Always","Always","Sometimes","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree"
"24","blamed-rosemary",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat disagree","No","n/a","","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Rarely","Often","Rarely","Sometimes","Less than 1 hour","Between 1 and 2 hours","Between 1 and 2 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"25","tame-quince",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus BC","First Year","","I have not declared a major","Somewhat agree","Somewhat agree","No",NA,"","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Always","Sometimes","Always","Often","Sometimes","More than 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 5 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree"
"26","didactic-dragonfruit",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses,Engaged in software or hardware related projects,Took part in student groups related to computer science","Sophomore","","I have not declared a major","Strongly disagree","Somewhat disagree","No",NA,"","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Rarely","Always","Often","Always","Sometimes","Between 5 and 10 hours","Less than 1 hour","More than 10 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"27","carefree-raspberry",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat agree","No",NA,"","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Rarely","Sometimes","Often","Sometimes","Rarely","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree"
"28","tested-nectarine",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,Curiosity or interest in computer science,My parents encouraged me to","","Took a computer science or programming course not associated with AP or dual enrollment","Other (Please specify)","Second semester junior","I have declared a major,I have declared a second major","","","No","Math","Education","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Sometimes","Sometimes","Often","Sometimes","Never","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree"
