"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part1_5","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6","Question7_Part4_1","Question7_Part4_2","Question7_Part4_3","Question7_Part4_4","Question7_Part4_5","Question7_Part4_6","Question7_Part4_7"
"29","apricot-tamarillo",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,3,5,4,4,3,3,5,3,4,4,3,4,5,1,4,3,5,4,5,2,4,2,1,NA,1,2,2,2,2,2,4,4,2,4,3,5,4,4,2,4,4,4,4,3,4,3
"30","asparagus-raspberry",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,5,4,3,4,2,4,5,3,4,3,4,4,5,3,4,4,5,4,5,4,5,NA,2,NA,1,2,4,2,2,4,5,5,4,4,5,3,4,5,2,5,5,4,2,4,4,3
"31","blue-cucumber",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,5,5,4,4,5,3,3,4,4,4,3,4,4,4,4,5,3,4,4,3,4,4,4,NA,4,NA,3,4,4,5,3,4,3,3,2,2,3,4,4,2,4,4,3,4,3,4,3
"32","blue-fig",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,5,5,2,5,2,5,5,3,5,5,5,5,2,2,4,1,5,1,5,5,5,2,1,NA,1,1,1,1,1,1,1,1,1,4,2,5,4,5,1,4,4,5,5,4,4,4
"33","blush-grape",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,3,5,2,4,5,4,5,2,4,5,5,3,5,4,5,2,5,2,5,2,2,2,1,2,2,2,2,2,2,2,1,3,2,4,5,5,1,5,5,5,5,2,5,2
"34","blush-redcurrant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,5,3,2,5,2,3,4,2,3,4,3,4,2,3,4,2,5,2,4,2,4,NA,1,NA,1,4,2,3,3,3,4,2,4,3,2,2,4,3,1,4,4,4,3,2,3,2
"35","brown-quince",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,5,1,1,5,4,2,5,3,5,4,5,3,1,1,4,5,3,4,5,1,5,NA,NA,NA,2,3,3,3,3,5,5,5,5,2,5,4,5,5,4,1,1,1,1,5,3,3
"36","cerise-satsuma",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,5,4,3,5,3,5,5,4,4,5,5,4,4,4,4,5,5,4,3,2,4,2,2,2,2,3,3,3,3,1,2,2,2,2,2,5,5,2,2,4,4,5,4,3,4,2
"37","chestnut-artichoke",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,1,1,1,4,3,1,4,4,3,3,5,2,1,1,1,2,3,3,2,2,2,4,1,1,1,1,2,2,2,2,1,1,1,1,3,4,3,2,5,4,1,1,2,1,4,2,5
"38","copper-horseradish",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,4,5,5,3,4,3,4,4,4,4,4,4,4,3,4,4,4,2,1,2,1,2,2,2,2,2,2,4,3,2,4,4,4,3,2,4,4,4,4,4,4,4
"39","denim-asparagus",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,3,4,2,3,4,1,4,4,5,3,5,5,3,4,4,4,5,4,2,5,4,4,1,1,1,1,4,4,4,3,1,1,4,1,4,2,3,4,4,1,3,2,4,4,3,4,1
"40","eggplant-daikon",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,5,4,2,4,4,3,5,5,3,4,5,3,4,4,4,5,4,5,4,4,1,4,2,1,1,1,4,4,4,4,2,4,2,1,2,4,2,2,2,1,4,4,4,2,2,4,2
"41","gold-blackcurrant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,5,5,3,5,1,4,5,3,4,5,5,5,5,3,5,5,5,2,5,4,5,2,1,2,1,2,2,2,2,3,2,4,2,4,4,5,5,5,1,5,5,5,5,2,5,5
"42","green-mushroom",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,5,2,3,2,2,3,5,3,4,4,4,2,5,3,5,3,3,2,5,NA,2,4,1,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,4,3,3,3,3
"43","mahogany-avocado",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,4,5,4,2,4,2,4,4,2,5,5,5,4,3,3,5,2,4,3,4,2,4,NA,2,NA,2,2,2,2,4,4,4,4,2,2,5,4,4,4,2,4,4,5,3,2,3,2
"44","mauvelous-lettuce",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,5,3,5,4,4,5,3,5,3,5,5,3,5,5,5,5,3,4,3,5,1,2,NA,2,5,5,3,3,1,3,4,1,3,5,5,5,5,4,5,5,5,4,5,4,3
"45","orchid-caraway",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,5,4,3,4,2,3,3,4,3,5,3,5,5,1,3,4,3,2,5,3,4,2,1,2,1,2,2,2,2,2,4,3,1,2,2,3,4,4,1,3,3,4,3,4,4,2
"46","orchid-elderberry",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4,2,4,2,3,4,4,2,4,3,3,3,3,3,4,4,4,5,4,1,4,NA,NA,NA,NA,4,4,4,4,5,5,5,5,3,4,2,3,5,3,2,3,1,2,4,3,4
"47","razzmatazz-courgette",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,1,2,3,3,3,3,4,3,4,4,3,3,3,3,3,3,4,4,4,3,3,2,NA,2,NA,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,2,3,2,3,3,3
"48","sepia-habanero",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,2,1,2,1,2,5,5,4,5,4,4,4,5,4,5,4,4,4,5,NA,1,NA,2,3,3,2,2,3,4,3,3,4,3,4,4,4,3,4,4,4,4,3,4,3
"49","shadow-cantaloupe",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,2,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,4,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,4,1,5,5,5,5,5,5,3
"50","shamrock-rosemary",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,5,5,2,4,3,1,5,5,2,5,5,5,4,4,3,5,3,5,4,4,1,5,NA,1,NA,1,5,5,5,4,5,5,5,5,5,5,2,2,4,4,4,4,1,3,3,4,3
"51","silver-courgette",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,4,4,5,2,4,5,3,5,4,5,5,3,4,5,4,5,5,5,2,5,2,2,NA,2,1,1,1,1,2,2,4,2,4,4,5,5,5,4,5,4,4,4,4,4,2
"52","sunglow-grape",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,5,4,2,3,2,4,4,3,4,2,3,3,3,3,4,4,5,4,4,3,5,NA,2,2,1,4,3,3,3,4,4,5,5,4,4,4,5,5,2,4,3,4,4,5,3,2
"53","tan-pomegranate",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,4,5,3,5,4,1,4,5,3,5,3,5,3,2,1,5,4,4,3,4,1,5,NA,NA,NA,NA,2,4,3,4,4,4,4,4,2,4,4,4,5,2,2,4,2,2,4,4,2
"54","timberwolf-rosemary",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,4,5,5,1,5,1,2,4,4,5,3,4,5,5,3,4,2,5,2,4,2,5,NA,2,4,1,2,4,1,1,5,5,5,5,4,4,3,5,5,2,4,4,4,4,4,4,1
"55","violet-jackfruit",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,3,4,1,4,4,2,5,4,4,5,4,4,5,4,5,2,5,4,4,NA,1,NA,1,2,3,2,3,2,2,4,2,2,2,4,4,5,1,5,5,5,4,4,4,1
"56","yellow-clementine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,5,2,4,5,3,5,5,4,5,3,4,4,5,5,4,3,4,3,4,2,4,2,1,2,1,2,2,2,4,2,4,4,5,4,4,4,4,5,3,4,4,4,4,3,4,2
"57","yellow-nut",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,1,4,2,3,3,5,4,5,2,3,5,3,1,1,1,4,3,1,5,4,3,5,NA,1,NA,1,5,5,5,5,4,4,4,2,4,4,1,3,1,3,1,1,1,1,4,3,3
