"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part1_5","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6","Question7_Part4_1","Question7_Part4_2","Question7_Part4_3","Question7_Part4_4","Question7_Part4_5","Question7_Part4_6","Question7_Part4_7"
"13","cerulean-chickpea",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","SDS",NA,"Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Never","Often","Always","Always","Often","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree"
"14","chestnut-cilantro",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry",NA,"Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Sometimes","Always","Rarely","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree"
"15","eggplant-rutabaga",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Architecture","SDS","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Always","Always","Always","Always","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","More than 10 hours","Between 5 and 10 hours","Between 5 and 10 hours","Between 5 and 10 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"16","goldenrod-dill",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses","First Year","","I lean towards Declaring a CS Major","I might or might not declare a CS Minor",NA,"Engineering","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Never","Always","Always","Always","Often","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly disagree"
"17","lavender-asparagus",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","magenta-jalapeno",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It fulfilled another requirement,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","First Year","","I lean towards NOT Declaring a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Always","Always","Always","Sometimes","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","More than 10 hours","Less than 1 hour","More than 10 hours","Between 5 and 10 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"19","manatee-lime",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Rarely","Always","Often","Sometimes","Always","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","More than 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree"
"20","peach-frisee",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor","Engineering Science",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Often","Often","Often","Often","Often","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 5 hours","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"21","razzmatazz-artichoke",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry","SDS","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Rarely","Sometimes","Sometimes","Always","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Between 5 and 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 5 hours","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"22","razzmatazz-cabbage",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Statistical & Data Sciences","","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Sometimes","Always","Sometimes","Often","Sometimes","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"23","red-jambul",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Computer Science Principles","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Geosciences",NA,"Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Rarely","Sometimes","Always","Sometimes","Always","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 5 and 10 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree"
