"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","j1a","j1b","j1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","j2a","j2b","j2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","j3a","j3b","j3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","j4a","j4b","j4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","j5a","j5b","j5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","j6a","j6b","j6c","c6a","c6b","c6c","T6_First.Click","T6_Last.Click","T6_Page.Submit","T6_Click.Count","q7_total","q7a","q7b","q7c","j7a","j7b","j7c","c7a","c7b","c7c","T7_First.Click","T7_Last.Click","T7_Page.Submit","T7_Click.Count","q8_total","q8a","q8b","q8c","j8a","j8b","j8c","c8a","c8b","c8c","T8_First.Click","T8_Last.Click","T8_Page.Submit","T8_Click.Count","SC0","score_check","mcq_points","justification_points","j_gain"
"11",10,"3/6/23 7:59","3/6/23 9:02","100","3810","TRUE","3/6/23 9:02","R_SIsaCGxHgw8uUiR","brown-bilberry","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","10.915","263.825","271.564","12",10,3,1,1,1,2,2,"0","0","0","79.111","287.259","301.337","6",6,3,1,1,1,0,0,"0","0","0","45.134","313.093","322.187","11",10,3,1,1,1,2,2,"0","0","0","192.952","520.095","522.519","7",6,3,1,1,1,0,0,"0","0","0","171.618","354.31","447.414","13",8,3,1,1,1,0,2,"0","0","0","381.915","567.247","595.854","31",1,0,0,1,0,0,0,"0","0","0","176.363","575.112","674.314","28",10,3,1,1,1,2,2,"0","0","0","103.435","396.544","592.626","12",61,61,36,25,69.4444444444444
"12",11,"3/6/23 7:59","3/6/23 8:41","100","2490","TRUE","3/6/23 8:41","R_3rYhnXX3hpkhW3w","brown-mandarine","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","49.715","177.918","190.562","6",10,3,1,1,1,2,2,"0","0","0","48.563","79.572","224.147","3",10,3,1,1,1,2,2,"0","0","0","58.528","101.837","103.493","6",10,3,1,1,1,2,2,"0","0","0","33.017","204.178","206.23","6",8,3,1,1,1,0,2,"0","0","0","22.218","601.906","603.897","12",10,3,1,1,1,2,2,"0","0","0","88.344","498.82","500.631","15",3,0,1,0,0,2,0,"0","0","0","49.741","486.949","494.01","10",10,3,1,1,1,2,2,"0","0","0","24.386","112.59","115.301","7",71,71,36,35,97.2222222222222
"13",12,"3/6/23 7:59","3/6/23 8:57","100","3469","TRUE","3/6/23 8:57","R_2X6ZpasqxxRxTdZ","canary-eggplant","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","60.745","163.882","172.185","9",10,3,1,1,1,2,2,"0","0","0","59.216","201.678","203.83","10",10,3,1,1,1,2,2,"0","0","0","60.91","390.331","392.325","17",10,3,1,1,1,2,2,"0","0","0","67.716","333.585","338.236","13",10,3,1,1,1,2,2,"0","0","0","20.095","262.79","266.964","22",10,3,1,1,1,2,2,"0","0","0","164.114","625.517","636.039","32",3,0,0,1,0,0,2,"0","0","0","156.252","1071.351","1081.629","45",10,3,1,1,1,2,2,"0","0","0","45.727","229.412","236.132","14",73,73,36,37,102.777777777778
"14",13,"3/6/23 7:59","3/6/23 8:46","100","2831","TRUE","3/6/23 8:46","R_2TvCtjHzIf67lhH","canary-elderberry","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","25.425","100.102","112.73","9",10,3,1,1,1,2,2,"0","0","0","257.566","348.326","351.976","11",10,3,1,1,1,2,2,"0","0","0","111.039","310.634","313.176","27",10,3,1,1,1,2,2,"0","0","0","87.53","220.12","225.065","12",3,0,0,1,0,0,2,"0","0","0","21.412","383.83","387.178","15",6,3,1,1,1,0,0,"0","0","0","138.926","232.267","237.259","16",3,0,0,1,0,0,2,"0","0","0","145.483","958.382","1028.934","42",10,3,1,1,1,2,2,"0","0","0","53.314","115.102","117.436","11",62,62,32,30,93.75
"15",14,"3/6/23 8:00","3/6/23 8:38","100","2277","TRUE","3/6/23 8:38","R_29hwT0VNmnpvEzn","cerulean-chickpea","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","35.065","105.557","144.51","9",10,3,1,1,1,2,2,"0","0","0","70.612","130.839","243.922","8",10,3,1,1,1,2,2,"0","0","0","21.344","125.217","133.397","8",10,3,1,1,1,2,2,"0","0","0","49.571","143.012","171.519","9",10,3,1,1,1,2,2,"0","0","0","17.874","118.177","160.638","7",10,3,1,1,1,2,2,"0","0","0","89.461","247.026","270.62","18",1,0,0,1,0,0,0,"0","0","0","42.471","810.807","826.29","33",10,3,1,1,1,2,2,"0","0","0","51.153","223.707","249.046","9",71,71,36,35,97.2222222222222
"16",15,"3/6/23 7:59","3/6/23 8:44","100","2670","TRUE","3/6/23 8:44","R_1gtsqwh2MNggYHL","chestnut-cilantro","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","31.896","115.069","250.427","7",10,3,1,1,1,2,2,"0","0","0","4.346","241.347","422.334","15",10,3,1,1,1,2,2,"0","0","0","51.192","198.743","239.26","11",10,3,1,1,1,2,2,"0","0","0","95.06","155.074","180.833","9",10,3,1,1,1,2,2,"0","0","0","9.08","126.847","181.148","11",10,3,1,1,1,2,2,"0","0","0","115.822","323.414","506.52","11",3,0,0,1,0,0,2,"0","0","0","136.05","405.815","455.104","13",10,3,1,1,1,2,2,"0","0","0","117.318","349.379","351.323","11",73,73,36,37,102.777777777778
"17",16,"3/6/23 8:01","3/6/23 9:14","100","4357","TRUE","3/6/23 9:14","R_2akORfgSGX8e22Z","eggplant-rutabaga","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","85.243","388.328","397.371","11",8,3,1,1,1,0,2,"0","0","0","105.088","648.385","650.304","13",3,0,0,1,0,0,2,"0","0","0","154.204","216.94","219.308","10",10,3,1,1,1,2,2,"0","0","0","10.561","601.297","605.369","24",1,0,0,1,0,0,0,"0","0","0","66.976","439.66","442.566","32",8,3,1,1,1,2,0,"0","0","0","396.31","644.597","647.218","18",8,3,1,1,1,2,0,"0","0","0","64.746","715.891","718.208","21",8,3,1,1,1,0,2,"0","0","0","67.431","582.665","584.194","39",56,56,32,24,75
"18",17,"3/6/23 8:00","3/6/23 8:53","100","3187","TRUE","3/6/23 8:53","R_2Y3qWOlV3nZDHu9","goldenrod-dill","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","52.932","160.582","162.63","11",10,3,1,1,1,2,2,"0","0","0","65.3","231.003","233.296","17",3,0,0,1,0,0,2,"0","0","0","36.243","95.815","96.42","11",10,3,1,1,1,2,2,"0","0","0","62.479","302.761","306.205","13",10,3,1,1,1,2,2,"0","0","0","50.398","207.601","212.075","13",6,3,1,1,1,0,0,"0","0","0","111.054","344.158","347.226","21",1,0,0,1,0,0,0,"0","0","0","5.847","1458.23","1465.547","37",10,3,1,1,1,2,2,"0","0","0","90.142","292.031","301.247","15",60,60,32,28,87.5
"19",18,"3/6/23 8:00","3/6/23 9:04","100","3812","TRUE","3/6/23 9:04","R_1CarUbtKtgPSDwf","lavender-asparagus","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",1,0,0,1,0,0,0,"0","0","0","131.054","247.891","268.084","6",8,3,1,1,1,0,2,"0","0","0","159.682","620.562","621.422","15",3,0,1,0,0,2,0,"0","0","0","3.216","651.72","657.603","22",10,3,1,1,1,2,2,"0","0","0","165.979","280.239","284.398","9",1,0,0,1,0,0,0,"0","0","0","114","410.359","414.917","14",6,3,1,1,1,0,0,"0","0","0","167.844","428.922","430.415","13",1,0,0,1,0,0,0,"0","0","0","100.599","731.246","738.272","12",6,3,1,1,1,0,0,"0","0","0","82.711","317.41","325.982","13",36,36,24,12,50
"20",19,"3/6/23 8:02","3/6/23 9:03","100","3666","TRUE","3/6/23 9:03","R_3DcCayEpCwtA5JK","magenta-jalapeno","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","22.134","98.613","112.977","7",10,3,1,1,1,2,2,"0","0","0","62.184","492.363","494.407","15",10,3,1,1,1,2,2,"0","0","0","64.107","321.976","323.673","13",10,3,1,1,1,2,2,"0","0","0","115.706","209.338","211.469","10",3,0,0,1,0,0,2,"0","0","0","44.936","690.631","692.719","18",10,3,1,1,1,2,2,"0","0","0","152.021","722.24","725.042","29",1,0,0,1,0,0,0,"0","0","0","80.261","879.487","882.301","20",10,3,1,1,1,2,2,"0","0","0","56.529","141.144","143.974","12",64,64,32,32,100
"21",20,"3/6/23 8:01","3/6/23 9:05","100","3833","TRUE","3/6/23 9:05","R_31AdQT3My16USLi","manatee-lime","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","39.566","195.515","223.007","11",10,3,1,1,1,2,2,"0","0","0","57.187","257.774","290.09","14",10,3,1,1,1,2,2,"0","0","0","146.583","472.328","489.885","24",10,3,1,1,1,2,2,"0","0","0","36.439","302.856","308.571","16",10,3,1,1,1,2,2,"0","0","0","67.548","626.943","665.74","21",10,3,1,1,1,2,2,"0","0","0","253.09","430.623","534.713","13",10,3,1,1,1,2,2,"0","0","0","127.774","1065.519","1073.333","22",10,3,1,1,1,2,2,"0","0","0","79.883","157.587","185.44","11",80,80,40,40,100
"22",21,"3/6/23 8:00","3/6/23 8:44","100","2659","TRUE","3/6/23 8:44","R_1Q9qbaTbsR3YDPC","melon-quince","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","3.069","190.686","207.458","18",10,3,1,1,1,2,2,"0","0","0","8.286","394.25","402.921","18",3,0,1,0,0,2,0,"0","0","0","31.919","436.353","441.061","17",10,3,1,1,1,2,2,"0","0","0","126.754","166.438","170.346","9",10,3,1,1,1,2,2,"0","0","0","18.377","191.551","199.583","10",10,3,1,1,1,2,2,"0","0","0","17.151","161.061","177.599","8",3,0,0,1,0,0,2,"0","0","0","27.838","636.044","655.817","29",8,3,1,1,1,0,2,"0","0","0","103.931","349.41","351.489","19",64,64,32,32,100
"23",22,"3/6/23 8:04","3/6/23 8:59","100","3348","TRUE","3/6/23 8:59","R_1igRK7pKl1XQtiP","peach-frisee","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",10,3,1,1,1,2,2,"0","0","0","3.609","113.99","117.331","18",6,3,1,1,1,0,0,"0","0","0","4.202","176.679","178.391","35",3,0,1,0,0,2,0,"0","0","0","31.449","365.92","367.642","37",10,3,1,1,1,2,2,"0","0","0","55.27","356.66","357.589","43",10,3,1,1,1,2,2,"0","0","0","36.452","253.053","254.165","49",6,3,1,1,1,0,0,"0","0","0","10.327","592.349","597.455","100",1,0,1,0,0,0,0,"0","0","0","7.391","1019.734","1020.759","107",10,3,1,1,1,2,2,"0","0","0","5.452","369.62","370.817","88",56,56,32,24,75
"24",23,"3/6/23 8:01","3/6/23 8:47","100","2789","TRUE","3/6/23 8:47","R_1nZ3fCO8zYy8DEh","razzmatazz-artichoke","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,0,2,"0","0","0","37.565","127.998","142.167","8",10,3,1,1,1,2,2,"0","0","0","125.479","206.544","211.275","9",3,0,1,0,0,2,0,"0","0","0","119.141","205.914","213.141","9",8,3,1,1,1,2,0,"0","0","0","296.654","458.896","483.251","11",10,3,1,1,1,2,2,"0","0","0","131.689","257.968","273.534","8",8,3,1,1,1,2,0,"0","0","0","168.231","358.362","367.708","12",1,0,0,1,0,0,0,"0","0","0","194.366","526.112","545.388","13",1,0,1,0,0,0,0,"0","0","0","192.179","408.165","480.614","20",49,49,28,21,75
"25",24,"3/6/23 7:59","3/6/23 8:48","100","2942","TRUE","3/6/23 8:48","R_3hGSpkWnKyFcyys","razzmatazz-cabbage","Section 1: 8:00 AM - 9:15 AM  with Pablo Frank",8,3,1,1,1,2,0,"0","0","0","80.94","291.502","311.133","6",10,3,1,1,1,2,2,"0","0","0","121.039","223.917","227.344","9",3,0,1,0,0,2,0,"0","0","0","97.451","247.336","268.032","8",8,3,1,1,1,2,0,"0","0","0","129.568","242.01","251.72","10",6,3,1,1,1,0,0,"0","0","0","88.508","241.507","280.579","10",6,3,1,1,1,0,0,"0","0","0","291.544","590.548","629.453","16",1,0,0,1,0,0,0,"0","0","0","138.205","542.853","569.404","11",1,0,0,1,0,0,0,"0","0","0","260.77","349.584","355.851","9",43,43,28,15,53.5714285714286
