"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","c6a","c6b","c6c","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","SC0","score_check"
"11",10,"5/1/23 9:26","5/1/23 10:27","100","3647","TRUE","5/1/23 10:27","R_vH0GPeDHh4rD1nP","brown-quince","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","118.765","873.416","891.944","27",5,"3","1","1","0","0","0","73.886","580.062","588.679","22",5,"3","1","1","0","0","0","89.776","596.604","598.078","27",5,"3","1","1","0","0","0","156.531","513.004","513.928","12",5,"3","1","1","0","0","0","227.225","496.246","520.199","12",1,"0","0","1","0","0","0","210.777","475.296","478.799","10","26",26
"12",11,"5/1/23 9:28","5/1/23 10:24","100","3325","TRUE","5/1/23 10:24","R_2cim5HmYgsX871L","cerise-satsuma","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","224.729","575.002","585.902","9",1,"0","0","1","0","0","0","228.018","1022.574","1029.174","12",5,"3","1","1","0","0","0","220.144","686.074","696.646","11",5,"3","1","1","0","0","0","22.903","348.304","352.458","11",5,"3","1","1","0","0","0","80.372","328.716","334.327","11",1,"0","0","1","0","0","0","202.876","243.276","248.451","7","22",22
"13",12,"5/1/23 9:25","5/1/23 10:11","100","2757","TRUE","5/1/23 10:11","R_1dH5MJ83RPsPZpF","chestnut-artichoke","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","198.529","1057.373","1060.823","13",5,"3","1","1","0","0","0","112.404","237.277","239.995","15",5,"3","1","1","0","0","0","18.788","640.829","642.739","10",5,"3","1","1","0","0","0","40.136","156.306","158.502","11",5,"3","1","1","0","0","0","2.435","311.891","314.097","12",1,"0","0","1","0","0","0","69.925","295.053","295.732","11","22",22
"14",13,"5/1/23 9:27","5/1/23 10:28","100","3667","TRUE","5/1/23 10:28","R_uanHjciLpxuAeNb","copper-horseradish","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","230.779","1507.558","1509.823","28",5,"3","1","1","0","0","0","24.888","370.505","371.65","27",5,"3","1","1","0","0","0","50.67","579.639","582.403","22",1,"0","1","0","0","0","0","46.253","580.289","580.795","21",1,"0","0","1","0","0","0","51.411","176.84","179.032","20",5,"3","1","1","0","0","0","35.318","271.781","401.821","6","22",22
"15",14,"5/1/23 9:25","5/1/23 10:02","100","2243","TRUE","5/1/23 10:02","R_VRaiEBsmoK21kAx","denim-asparagus","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","277.669","284.452","295.373","3",5,"3","1","1","0","0","0","239.614","602.038","603.747","4",1,"0","0","1","0","0","0","236.833","582.837","584.842","3",5,"3","1","1","0","0","0","65.445","206.866","208.79","3",5,"3","1","1","0","0","0","113.483","139.564","141.554","3",1,"0","0","1","0","0","0","147.55","379.969","381.941","5","22",22
"16",15,"5/1/23 9:25","5/1/23 10:37","100","4324","TRUE","5/1/23 10:37","R_2rUt3WnYc8UJnvg","eggplant-daikon","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","283.839","695.957","2032.164","12",5,"3","1","1","0","0","0","55.804","284.656","287.175","10",5,"3","1","1","0","0","0","136.468","475.038","478.203","11",5,"3","1","1","0","0","0","189.2","400.854","403.958","11",5,"3","1","1","0","0","0","119.036","230.692","234.604","13",5,"3","1","1","0","0","0","149.865","851.346","853.767","14","26",26
"17",16,"5/1/23 9:28","5/1/23 10:43","100","4491","TRUE","5/1/23 10:43","R_2xxbgABZFcUFNnv","gold-blackcurrant","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","559.7","1146.214","1187.753","12",5,"3","1","1","0","0","0","64.005","914.91","934.2","13",5,"3","1","1","0","0","0","16.148","1187.772","1189.607","9",5,"3","1","1","0","0","0","77.856","589.525","603.237","12",5,"3","1","1","0","0","0","55.151","178.851","181.951","8",5,"3","1","1","0","0","0","88.925","324.296","351.378","6","26",26
"18",17,"5/1/23 9:25","5/1/23 10:32","100","4029","TRUE","5/1/23 10:32","R_3kjkysy4ZqRLZ2g","green-mushroom","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","184.926","1646.61","1647.146","28",5,"3","1","1","0","0","0","63.6","538.226","541.774","7",5,"3","1","1","0","0","0","344.994","910.536","918.261","10",1,"0","0","1","0","0","0","157.432","412.082","414.258","10",5,"3","1","1","0","0","0","33.009","235.322","237.564","14",5,"3","1","1","0","0","0","21.53","202.93","204.816","17","22",22
"19",18,"5/1/23 9:26","5/1/23 10:23","100","3374","TRUE","5/1/23 10:23","R_3lSqEYDQpUQfpFM","mahogany-avocado","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","0","1","0","0","0","153.939","642.292","706.616","22",1,"0","1","0","0","0","0","14.384","1607.704","1614.238","23",1,"0","1","0","0","0","0","110.242","228.147","231.306","10",1,"0","0","1","0","0","0","93.296","294.05","301.305","10",1,"0","0","1","0","0","0","61.537","165.261","181.538","13",1,"0","0","1","0","0","0","103.144","281.297","291.646","9","6",6
"20",19,"5/1/23 9:25","5/1/23 10:00","100","2066","TRUE","5/1/23 10:00","R_2AZmiKCC7CCcCvC","mauvelous-lettuce","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","0","1","0","0","0","61.049","246.864","264.867","8",1,"0","1","0","0","0","0","22.584","130.158","134.444","6",1,"0","0","1","0","0","0","30.592","211.538","263.811","17",5,"3","1","1","0","0","0","63.302","409.082","411.128","12",1,"0","0","1","0","0","0","121.641","528.414","530.098","24",1,"0","1","0","0","0","0","8.733","373.761","393.337","19","10",10
"21",20,"5/1/23 9:25","5/1/23 10:26","100","3639","TRUE","5/1/23 10:26","R_ysCAZq0OAC61N4J","orchid-caraway","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","534.261","969.174","973.755","7",5,"3","1","1","0","0","0","65.62","805.735","810.653","17",1,"0","1","0","0","0","0","307.861","890.821","901.882","6",5,"3","1","1","0","0","0","179.163","406.47","411.12","9",5,"3","1","1","0","0","0","218.327","310.804","314.042","11",1,"0","1","0","0","0","0","123.13","171.454","176.856","5","22",22
"22",21,"5/1/23 9:25","5/1/23 10:30","100","3874","TRUE","5/1/23 10:30","R_2WDdcjF5cOccwt1","orchid-elderberry","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","19.009","657.621","770.765","8",1,"0","0","1","0","0","0","112.844","516.561","528.332","11",1,"0","0","1","0","0","0","19.675","1061.595","1063.424","13",1,"0","0","1","0","0","0","118.852","676.698","679.303","14",1,"0","0","1","0","0","0","91.836","345","349.637","11",5,"3","1","1","0","0","0","52.155","401.137","420.402","11","10",10
"23",22,"5/1/23 9:25","5/1/23 10:30","100","3934","TRUE","5/1/23 10:30","R_2R7CyKgZMELCInN","razzmatazz-courgette","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","186.981","495.291","498.456","6",1,"0","1","0","0","0","0","300.223","649.478","650.132","9",1,"0","0","1","0","0","0","146.458","593.7","595.305","10",5,"3","1","1","0","0","0","89.68","797.74","819.277","19",1,"0","1","0","0","0","0","61.582","293.009","296.566","11",5,"3","1","1","0","0","0","18.133","695.661","697.344","28","18",18
"24",23,"5/1/23 9:26","5/1/23 10:38","100","4282","TRUE","5/1/23 10:38","R_1LOkQpuFxeCqVSH","sepia-habanero","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","214.324","591.802","985.218","6",1,"0","0","1","0","0","0","82.58","525.268","534.269","5",1,"0","1","0","0","0","0","110.453","829.063","979.39","8",5,"3","1","1","0","0","0","9.175","738.826","747.113","12",5,"3","1","1","0","0","0","436.567","729.676","740.94","10",5,"3","1","1","0","0","0","4.744","182.411","187.422","5","22",22
"25",24,"5/1/23 9:28","5/1/23 10:18","100","2991","TRUE","5/1/23 10:18","R_1l0jMfcWMVjNKyu","shadow-cantaloupe","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","99.915","440.547","693.973","9",1,"0","1","0","0","0","0","186.433","490.686","493.185","12",5,"3","1","1","0","0","0","96.237","497.801","499.396","10",1,"0","1","0","0","0","0","52.481","229.9","231.934","5",5,"3","1","1","0","0","0","51.036","450.781","452.503","10",5,"3","1","1","0","0","0","95.275","501.061","535.465","8","22",22
"26",25,"5/1/23 9:26","5/1/23 10:15","100","2946","TRUE","5/1/23 10:15","R_2zipxEqJZARAEnO","shamrock-rosemary","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","37.694","940.693","941.251","59",5,"3","1","1","0","0","0","1.623","217.324","217.894","27",5,"3","1","1","0","0","0","1.248","791.246","792","67",5,"3","1","1","0","0","0","1.037","523.457","524.032","58",5,"3","1","1","0","0","0","0.956","236.142","240.775","27",5,"3","1","1","0","0","0","1.256","181.517","182.824","36","26",26
"27",26,"5/1/23 9:26","5/1/23 10:13","100","2792","TRUE","5/1/23 10:13","R_XsQ821dVz42RgJz","silver-courgette","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","283.547","623.507","682.188","3",5,"3","1","1","0","0","0","152.906","541.355","602.691","5",5,"3","1","1","0","0","0","337.8","526.201","528.297","5",1,"0","0","1","0","0","0","4.67","509.239","821.544","7",0,"0","0","0","0","0","0","25.052","102.59","102.49","7",0,"0","0","0","0","0","0","2.583","22.197","22.199","6","16",16
"28",27,"5/1/23 9:25","5/1/23 10:07","100","2506","TRUE","5/1/23 10:07","R_3PN7gvKDfGaKzbs","sunglow-grape","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","123.625","589.98","618.43","15",5,"3","1","1","0","0","0","9.194","419.448","425.81","8",5,"3","1","1","0","0","0","266.407","560.197","568.441","11",1,"0","0","1","0","0","0","179.412","353.198","381.972","10",1,"0","0","1","0","0","0","75.684","165.579","171.47","10",5,"3","1","1","0","0","0","79.54","259.701","285.749","10","22",22
"29",28,"5/1/23 9:27","5/1/23 10:28","100","3668","TRUE","5/1/23 10:28","R_26fEXTmAEn4rUGf","tan-pomegranate","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","233.301","965.744","968.52","6",5,"3","1","1","0","0","0","259.514","616.249","646.37","4",1,"0","0","1","0","0","0","6.127","647.427","652.825","15",1,"0","1","0","0","0","0","5.295","645.592","648.544","14",5,"3","1","1","0","0","0","17.477","303.052","304.806","10",5,"3","1","1","0","0","0","73.564","413.86","415.084","13","22",22
"30",29,"5/1/23 9:25","5/1/23 10:24","100","3562","TRUE","5/1/23 10:24","R_2RPQ09Cg12FYfns","timberwolf-rosemary","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","216.172","577.949","582.034","13",5,"3","1","1","0","0","0","100.976","520.236","523.831","13",5,"3","1","1","0","0","0","19.544","528.285","550.788","15",5,"3","1","1","0","0","0","75.077","692.317","724.236","38",1,"0","0","1","0","0","0","57.107","217.519","217.932","8",5,"3","1","1","0","0","0","245.22","907.444","927.023","14","26",26
"31",30,"5/1/23 9:29","5/1/23 10:42","100","4427","TRUE","5/1/23 10:42","R_1kGHSDOva6av981","violet-jackfruit","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,"0","1","0","0","0","0","60.497","1142.088","1152.484","18",5,"3","1","1","0","0","0","9.619","585.9","590.047","22",5,"3","1","1","0","0","0","195.5","968.198","968.536","12",5,"3","1","1","0","0","0","9.096","592.483","602.089","16",1,"0","0","1","0","0","0","95.016","280.119","301.517","10",1,"0","0","1","0","0","0","23.629","559.516","673.003","19","18",18
"32",31,"5/1/23 9:25","5/1/23 10:36","100","4228","TRUE","5/1/23 10:36","R_1exbKVCraUERhe2","yellow-clementine","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","425.18","780.442","988.194","6",5,"3","1","1","0","0","0","356.445","663.835","680.341","7",5,"3","1","1","0","0","0","438.727","1004.012","1005.189","7",5,"3","1","1","0","0","0","212.005","724.04","751.706","15",5,"3","1","1","0","0","0","103.075","456.673","461.158","7",1,"0","1","0","0","0","0","305.213","313.883","314.784","6","26",26
"33",32,"5/1/23 9:25","5/1/23 10:24","100","3530","TRUE","5/1/23 10:24","R_3jSUAjyMySXe7fu","yellow-nut","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,"3","1","1","0","0","0","52.876","1038.856","1059.071","30",5,"3","1","1","0","0","0","197.773","489.58","491.42","11",1,"0","1","0","0","0","0","433.83","1043.107","1045.349","23",1,"0","1","0","0","0","0","8.374","646.273","651.02","18",5,"3","1","1","0","0","0","4.895","156.8","158.802","8",1,"0","0","1","0","0","0","78.268","92.291","93.784","6","18",18
