"","key","Section","Question1","Question3","Question4","Question6","Question6_6_TEXT","Question7","Question8_1","Question8_2","Question8_3","Question9_1","Question9_2","Question9_3","Question10","Question11_1","Question11_2","Question11_3","Question11_4","Question11_5","Question11_6","Question12_1","Question12_2","Question12_3","Question12_4","Question12_5","Question12_6","Question12_7","Question13_1","Question13_2","Question13_3","Question13_4","Question13_5","Question14_1","Question14_2","Question15_1","Question15_2","Question15_3","Question15_4","Question16_1","Question16_2","Question16_3","Question16_4","Question17_1","Question17_2","Question17_3","Question17_4","Question18_1","Question18_2","Question18_3","Question18_4","Question18_5","Question18_6","Question18_7","Question19_1","Question19_2","Question19_3","Question19_4","Question19_5"
"13","molested-arugula",2,"","Section 2: 10:50 AM - 12:05 PM with Razieh Fathi","","","","I have declared a major","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","My major right now is SDS and I'm considering either a history or computer science minor.","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Often","Often","Often","Sometimes","Sometimes","Between 1 and 2 hours","Between 1 and 2 hours","","","","","","","","","","","","","","","","","","","","","","","",""
"14","pious-satsuma",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Strongly disagree","Strongly disagree",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Double Major Sociology and Psychology","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Often","Sometimes","Sometimes","Sometimes","Often","Between 1 and 5 hours","Between 1 and 2 hours","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"15","protected-huckleberry",2,"","Section 2: 10:50 AM - 12:05 PM with Razieh Fathi","","","","I have declared a major,I have declared a second major","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Statistics and ES&P","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Often","Never","Always","Rarely","Sometimes","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree"
"16","puzzled-rambutan",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","English","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Often","Often","Often","Often","Often","Between 1 and 5 hours","Between 1 and 5 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"17","questioned-banana",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major",NA,"Strongly disagree",NA,NA,NA,NA,"","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Rarely","Often","Sometimes","Often","Often","Between 1 and 2 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree"
"18","resentful-cabbage",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","stupid-tamarillo",2,"","Section 2: 10:50 AM - 12:05 PM with Razieh Fathi","","","","I have not declared a major","Strongly disagree","Strongly disagree","Strongly disagree",NA,NA,NA,"","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Often","Often","Often","Often","Sometimes","Between 1 and 2 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat agree"
"20","tame-quince",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have not declared a major","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Always","Sometimes","Always","Sometimes","Often","Between 1 and 5 hours","Between 1 and 2 hours","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"21","tested-nectarine",2,"","Section 2: 10:50 AM - 12:05 PM with Razieh Fathi","","","","I have declared a major,I have declared a second major",NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Math and Education","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Sometimes","Rarely","Always","Never","Often","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree"
"22","tormented-lettuce",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major",NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","World Literatures","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Sometimes","Sometimes","Always","Often","Rarely","Between 5 and 10 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"23","treasured-avocado",2,"","Section 2: 10:50 AM - 12:05 PM with Razieh Fathi","","","","I have declared a major",NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","SDS","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Between 1 and 5 hours","Between 1 and 2 hours","","","","","","","","","","","","","","","","","","","","","","","",""
"24","zealous-lentils",3,"","Section 3: Monday 3:05 PM - 4:20 PM; Wednesday/Friday 2:45 PM - 4:00 PM with Pablo Frank","","","","I have declared a major","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Quantitative Economics","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Always","Often","Sometimes","Sometimes","Often","Between 1 and 5 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree"
