"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question4_Part1_7","Question4_Part1_8","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question5_Part1_7","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part2_10","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6"
"13","canary-elderberry",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Environmental Science and Policy","Mathematical Statistics","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Often","Often","Sometimes","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree"
"14","cerulean-chickpea",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","SDS","ES&P","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Never","Often","Often","Sometimes","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Between 5 and 10 hours","Between 5 and 10 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"15","chestnut-cilantro",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,Other (specify in the text area)","A friend encouraged me to","","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Chemistry",NA,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Sometimes","Rarely","Often","Often","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"16","eggplant-rutabaga",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor","Architecture","I might make data science or computer science my minor","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Often","Often","Often","Sometimes","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Between 5 and 10 hours","Between 5 and 10 hours","Between 5 and 10 hours","Between 5 and 10 hours","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"17","goldenrod-dill",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","Took AP Calculus AB,Took other AP courses","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor","","","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Rarely","Often","Sometimes","Rarely","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"18","lavender-asparagus",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Rarely","Always","Often","Sometimes","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Between 5 and 10 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree"
"19","magenta-jalapeno",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement","","","First Year","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Sometimes","Often","Often","Sometimes","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Between 5 and 10 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree"
"20","manatee-lime",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Rarely","Sometimes","Sometimes","Often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","More than 10 hours","Between 1 and 2 hours","More than 10 hours","Less than 1 hour","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree"
"21","melon-quince",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I might or might not declare a CS major","I lean towards Declaring a CS Minor",NA,NA,"Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Often","Sometimes","Always","Sometimes","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree"
"22","peach-frisee",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Sometimes","Sometimes","Often","Often","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Between 5 and 10 hours","Between 1 and 2 hours","More than 10 hours","Less than 1 hour","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"23","razzmatazz-artichoke",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Chemistry","Data science","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Rarely","Sometimes","Sometimes","Sometimes","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","More than 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 2 hours","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree"
"24","razzmatazz-cabbage",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","Sophomore","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
