"","X","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","key","Section","q1_total","q1a","q1b","q1c","c1a","c1b","c1c","T1_First.Click","T1_Last.Click","T1_Page.Submit","T1_Click.Count","q2_total","q2a","q2b","q2c","c2a","c2b","c2c","T2_First.Click","T2_Last.Click","T2_Page.Submit","T2_Click.Count","q3_total","q3a","q3b","q3c","c3a","c3b","c3c","T3_First.Click","T3_Last.Click","T3_Page.Submit","T3_Click.Count","q4_total","q4a","q4b","q4c","c4a","c4b","c4c","T4_First.Click","T4_Last.Click","T4_Page.Submit","T4_Click.Count","q5_total","q5a","q5b","q5c","c5a","c5b","c5c","T5_First.Click","T5_Last.Click","T5_Page.Submit","T5_Click.Count","q6_total","q6a","q6b","q6c","c6a","c6b","c6c","T6_First.Click","T6_Last.Click","T6_Page.Submit","T6_Click.Count","q7_total","q7a","q7b","q7c","c7a","c7b","c7c","T7_First.Click","T7_Last.Click","T7_Page.Submit","T7_Click.Count","q8_total","q8a","q8b","q8c","c8a","c8b","c8c","T8_First.Click","T8_Last.Click","T8_Page.Submit","T8_Click.Count","SC0","score_check","mcq_points","justification_points","j_gain"
"11",10,"3/6/23 9:26","3/6/23 10:19","100","3160","TRUE","3/6/23 10:19","R_2ronQksYkyj2Nvu","cerise-satsuma","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","45.391","153.019","168.238","8",5,3,1,1,"0","0","0","148.615","427.809","441.166","9",1,0,1,0,"0","0","0","21.408","147.259","153.244","9",5,3,1,1,"0","0","0","75.692","308.241","315.425","14",5,3,1,1,"0","0","0","38.142","370.188","393.022","12",5,3,1,1,"0","0","0","29.138","133.437","181.293","7",1,0,0,1,"0","0","0","209.994","996.151","1010.185","25",5,3,1,1,"0","0","0","125.52","234.727","332.66","9",32,32,32,0,0
"12",11,"3/6/23 9:25","3/6/23 9:46","100","1261","TRUE","3/6/23 9:46","R_3NWnbeB73diqigI","chestnut-artichoke","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","15.601","27.351","29.009","3",5,3,1,1,"0","0","0","53.975","72.548","75.093","3",1,0,1,0,"0","0","0","65.63","82.517","83.489","5",5,3,1,1,"0","0","0","35.422","38.542","40.233","3",5,3,1,1,"0","0","0","21.334","31.281","80.004","7",5,3,1,1,"0","0","0","54.349","62.767","63.902","4",5,3,1,1,"0","0","0","101.301","472.733","474.139","9",5,3,1,1,"0","0","0","204.895","343.675","344.761","7",36,36,36,0,0
"13",12,"3/6/23 9:25","3/6/23 9:55","100","1779","TRUE","3/6/23 9:55","R_2czNASKWzGXN9Ca","copper-horseradish","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","13.665","106.062","106.564","16",5,3,1,1,"0","0","0","62.481","183.229","185.084","4",5,3,1,1,"0","0","0","24.844","120.703","122.224","8",5,3,1,1,"0","0","0","135.791","212.764","213.466","7",1,0,1,0,"0","0","0","43.062","115.806","117.399","9",5,3,1,1,"0","0","0","35.007","107.846","109.444","4",1,0,0,1,"0","0","0","74.259","466.331","664.986","11",5,3,1,1,"0","0","0","87.539","130.225","145.725","7",32,32,32,0,0
"14",13,"3/6/23 9:24","3/6/23 9:52","100","1677","TRUE","3/6/23 9:52","R_VIJW5xrGVDCUZPP","denim-asparagus","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","13.538","98.32","104.215","7",5,3,1,1,"0","0","0","37.758","285.457","286.667","11",5,3,1,1,"0","0","0","77.532","166.332","220.173","8",5,3,1,1,"0","0","0","104.401","165.198","207.743","7",5,3,1,1,"0","0","0","26.159","93.608","116.052","6",5,3,1,1,"0","0","0","60.437","152.97","159.212","7",1,0,0,1,"0","0","0","177.422","238.743","303.01","7",1,0,1,0,"0","0","0","30.322","195.655","213.843","7",32,32,32,0,0
"15",14,"3/6/23 9:25","3/6/23 10:08","100","2573","TRUE","3/6/23 10:08","R_2QQEKGj955pnAOA","eggplant-daikon","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","121.358","179.973","195.713","11",5,3,1,1,"0","0","0","78.448","266.954","281.277","13",5,3,1,1,"0","0","0","47.123","201.974","203.149","10",5,3,1,1,"0","0","0","88.089","167.61","169.916","6",5,3,1,1,"0","0","0","90.789","333.489","338.753","18",5,3,1,1,"0","0","0","170.523","265.336","272.633","13",5,3,1,1,"0","0","0","61.164","701.984","881.319","21",5,3,1,1,"0","0","0","37.993","184.852","188.705","11",40,40,40,0,0
"16",15,"3/6/23 9:24","3/6/23 10:13","100","2912","TRUE","3/6/23 10:13","R_1gGx2b0oPZEpMxG","gold-blackcurrant","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","40.605","47.623","61.405","3",5,3,1,1,"0","0","0","199.269","493.717","605.173","5",5,3,1,1,"0","0","0","48.943","290.658","363.757","12",5,3,1,1,"0","0","0","37.67","76.76","81.946","4",5,3,1,1,"0","0","0","45.238","294.154","337.461","14",5,3,1,1,"0","0","0","103.342","258.463","267.469","6",5,3,1,1,"0","0","0","43.611","783.131","880.833","11",5,3,1,1,"0","0","0","149.053","234.217","267.364","5",40,40,40,0,0
"17",16,"3/6/23 9:25","3/6/23 10:15","100","2994","TRUE","3/6/23 10:15","R_2f0zRoAEEUhiULD","green-mushroom","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","76.698","333.019","334.388","25",5,3,1,1,"0","0","0","84.249","390.089","396.332","8",5,3,1,1,"0","0","0","218.635","383.332","392.081","9",5,3,1,1,"0","0","0","180.407","308.453","338.873","9",5,3,1,1,"0","0","0","155.214","278.724","283.717","10",5,3,1,1,"0","0","0","115.588","222.547","232.352","8",1,0,0,1,"0","0","0","130.282","731.201","776.671","32",5,3,1,1,"0","0","0","100.206","177.907","179.227","9",36,36,36,0,0
"18",17,"3/6/23 9:25","3/6/23 9:54","100","1751","TRUE","3/6/23 9:55","R_3QRZI80syk77k91","lavender-damson","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","156.397","172.445","175.922","3",5,3,1,1,"0","0","0","64.886","174.987","180.779","3",1,0,1,0,"0","0","0","105.398","137.135","140.374","3",1,0,0,1,"0","0","0","176.073","221.04","241.106","6",1,0,1,0,"0","0","0","14.001","165.395","167.619","6",1,0,0,1,"0","0","0","150.828","286.466","288.542","6",1,0,0,1,"0","0","0","36.41","320.179","322.002","7",5,3,1,1,"0","0","0","123.515","164.805","166.954","6",20,20,20,0,0
"19",18,"3/6/23 9:29","3/6/23 9:56","100","1612","TRUE","3/6/23 9:56","R_27UWySTnW20iv1o","mahogany-avocado","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","9.949","85.275","87.239","8",5,3,1,1,"0","0","0","40.854","192.728","202.644","10",1,0,1,0,"0","0","0","17.92","105.371","108.761","7",5,3,1,1,"0","0","0","16.961","115.852","121.437","14",5,3,1,1,"0","0","0","40.583","258.778","265.54","10",1,0,0,1,"0","0","0","56.956","169.335","170.307","9",1,0,0,1,"0","0","0","23.923","475.975","476.583","24",5,3,1,1,"0","0","0","45.81","124.786","126.968","11",28,28,28,0,0
"20",19,"3/6/23 9:24","3/6/23 9:55","100","1849","TRUE","3/6/23 9:55","R_R3NLXXzai7cbKrT","mauvelous-lettuce","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","7.798","143.85","151.754","6",5,3,1,1,"0","0","0","60.855","304.784","307.699","10",1,0,0,1,"0","0","0","26.148","132.153","133.464","9",5,3,1,1,"0","0","0","122.189","246.223","247.192","8",5,3,1,1,"0","0","0","34.863","212.504","213.646","8",1,0,1,0,"0","0","0","143.87","238.785","240.775","6",1,0,0,1,"0","0","0","108.416","162.394","201.655","5",5,3,1,1,"0","0","0","46.678","268.957","284.333","10",28,28,28,0,0
"21",20,"3/6/23 9:24","3/6/23 10:01","100","2201","TRUE","3/6/23 10:01","R_3qmS35ZZYcluyvA","orchid-caraway","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","34.167","110.857","124.389","10",5,3,1,1,"0","0","0","117.675","160.562","288.735","7",1,0,1,0,"0","0","0","98.82","114.081","153.485","4",5,3,1,1,"0","0","0","42.693","264.616","267.791","8",1,0,0,1,"0","0","0","50.466","147.606","159.258","8",5,3,1,1,"0","0","0","171.431","307.376","315.441","7",1,0,0,1,"0","0","0","93.705","313.425","388.51","5",5,3,1,1,"0","0","0","49.057","328.962","398.807","24",28,28,28,0,0
"22",21,"3/6/23 9:25","3/6/23 10:08","100","2591","TRUE","3/6/23 10:08","R_Dp0EjzNelpo3QBP","orchid-elderberry","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,0,0,1,"0","0","0","58.051","207.617","210.333","8",5,3,1,1,"0","0","0","79.163","191.553","193.134","8",1,0,1,0,"0","0","0","33.368","177.393","179.32","8",5,3,1,1,"0","0","0","64.101","324.953","326.747","9",1,0,0,1,"0","0","0","66.526","328.239","330.265","10",1,0,0,1,"0","0","0","62.085","331.855","333.703","19",1,0,0,1,"0","0","0","109.776","657.312","659.428","14",5,3,1,1,"0","0","0","12.69","274.047","276.01","9",20,20,20,0,0
"23",22,"3/6/23 9:29","3/6/23 9:56","100","1642","TRUE","3/6/23 9:56","R_1gMx7bsAkWt3LLO","razzmatazz-courgette","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","8.123","67.64","69.036","6",5,3,1,1,"0","0","0","70.136","125.306","211.655","4",1,0,0,1,"0","0","0","35.226","87.608","111.361","6",5,3,1,1,"0","0","0","104.268","112.357","134.867","5",1,0,0,1,"0","0","0","58.813","426.061","427.294","12",5,3,1,1,"0","0","0","116.445","192.056","218.157","9",1,0,0,1,"0","0","0","45.529","110.922","112.841","6",5,3,1,1,"0","0","0","98.804","241.247","278.683","9",28,28,28,0,0
"24",23,"3/6/23 9:32","3/6/23 10:09","100","2196","TRUE","3/6/23 10:09","R_1EbxYZWlmSggEIi","sepia-habanero","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","45.261","54.313","72.136","4",5,3,1,1,"0","0","0","98.177","322.418","324.819","7",5,3,1,1,"0","0","0","37.926","155.485","157.618","8",5,3,1,1,"0","0","0","53.603","116.143","118.171","6",5,3,1,1,"0","0","0","70.587","178.332","183.522","7",5,3,1,1,"0","0","0","195.621","448.501","452.209","8",5,3,1,1,"0","0","0","24.036","508.308","516","13",5,3,1,1,"0","0","0","85.437","204.212","209.089","7",40,40,40,0,0
"25",24,"3/6/23 9:24","3/6/23 9:56","100","1923","TRUE","3/6/23 9:56","R_3EgRs2HiiZtSmBL","shadow-cantaloupe","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","66.543","121.367","168.102","5",5,3,1,1,"0","0","0","97.942","159.783","407.544","4",1,0,0,1,"0","0","0","94.673","155.182","159.709","5",1,0,0,1,"0","0","0","124.571","196.191","200.014","4",5,3,1,1,"0","0","0","21.809","86.924","95.748","4",1,0,1,0,"0","0","0","236.166","373.144","376.657","5",1,0,0,1,"0","0","0","5.771","213.424","218.706","10",5,3,1,1,"0","0","0","178.787","239.773","241.712","4",24,24,24,0,0
"26",25,"3/6/23 9:26","3/6/23 9:58","100","1931","TRUE","3/6/23 9:58","R_1lizCNZo9IuJzAH","shamrock-rosemary","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","9.156","93.502","132.866","6",1,0,0,1,"0","0","0","82.844","247.54","252.03","6",5,3,1,1,"0","0","0","72.726","451.382","461.995","22",1,0,0,1,"0","0","0","192.577","345.512","346.855","6",5,3,1,1,"0","0","0","2.874","142.068","143.933","8",5,3,1,1,"0","0","0","80.941","127.711","129.597","6",1,0,0,1,"0","0","0","23.196","261.695","263.168","11",5,3,1,1,"0","0","0","35.261","141.263","143.957","10",28,28,28,0,0
"27",26,"3/6/23 9:25","3/6/23 9:55","100","1799","TRUE","3/6/23 9:55","R_3m1uUm1v7BD3CC4","silver-courgette","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","31.936","75.823","80.452","4",5,3,1,1,"0","0","0","27.816","60.923","66.421","4",5,3,1,1,"0","0","0","53.821","271.752","279.158","7",5,3,1,1,"0","0","0","141.593","158.783","161.651","4",5,3,1,1,"0","0","0","43.522","105.476","116.773","5",5,3,1,1,"0","0","0","50.575","73.668","119.468","5",5,3,1,1,"0","0","0","25.146","657.661","696.569","10",5,3,1,1,"0","0","0","50.577","198.025","227.536","5",40,40,40,0,0
"28",27,"3/6/23 9:25","3/6/23 10:03","100","2234","TRUE","3/6/23 10:03","R_1OGNd06mf0uPZAJ","sunglow-grape","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","16.369","154.85","207.46","9",1,0,0,1,"0","0","0","276.603","460.908","467.23","14",5,3,1,1,"0","0","0","2.807","222.577","248.91","17",5,3,1,1,"0","0","0","55.397","167.323","171.702","7",1,0,0,1,"0","0","0","55.063","269.712","275.114","15",5,3,1,1,"0","0","0","54.112","203.824","214.71","8",1,0,0,1,"0","0","0","48.991","395.183","435.985","13",5,3,1,1,"0","0","0","38.783","154.125","160.414","12",28,28,28,0,0
"29",28,"3/6/23 9:27","3/6/23 10:05","100","2312","TRUE","3/6/23 10:05","R_2t2VrLlspcPZ3fX","tan-pomegranate","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",5,3,1,1,"0","0","0","78.868","295.758","297.572","38",5,3,1,1,"0","0","0","48.005","194.785","200.965","23",1,0,0,1,"0","0","0","90.55","212.633","216.144","17",5,3,1,1,"0","0","0","153.127","304.874","309.035","17",1,0,0,1,"0","0","0","108.757","446.373","449.401","55",5,3,1,1,"0","0","0","124.712","291.105","292.704","21",1,0,0,1,"0","0","0","26.759","389.202","390.784","41",5,3,1,1,"0","0","0","53.476","80.728","84.322","8",28,28,28,0,0
"30",29,"3/9/23 10:58","3/9/23 11:30","100","1948","TRUE","3/9/23 11:30","R_3plFOHGcONEyEal","timberwolf-rosemary","Section 2: 9:25 AM - 10:40 AM with Pablo Frank",1,0,0,1,"0","0","0","58.458","384.003","385.212","80",5,3,1,1,"0","0","0","64.963","129.777","131.762","9",1,0,1,0,"0","0","0","23.934","82.935","84.642","7",5,3,1,1,"0","0","0","62.78","118.014","119.596","9",5,3,1,1,"0","0","0","95.984","191.458","194.317","9",5,3,1,1,"0","0","0","50.257","194.016","196.488","6",1,0,0,1,"0","0","0","76.015","297.04","360.036","8",5,3,1,1,"0","0","0","94.556","317.238","346.849","4",28,28,28,0,0
