key,q_total1,mcq1,j1,q1a,q1b,q1c,jc1a,jc1b,jc1c,j1a,j1b,j1c,c1a,c1b,c1c,T1_First Click,T1_Last Click,T1_Page Submit,T1_Click Count,q_total2,mcq2,j2,q2a,q2b,q2c,jc2a,jc2b,jc2c,j2a,j2b,j2c,c2a,c2b,c2c,T2_First Click,T2_Last Click,T2_Page Submit,T2_Click Count,q_total3,mcq3,j3,q3a,q3b,q3c,jc3a,jc3b,jc3c,j3a,j3b,j3c,c3a,c3b,c3c,T3_First Click,T3_Last Click,T3_Page Submit,T3_Click Count,q_total4,mcq4,j4,q4a,q4b,q4c,jc4a,jc4b,jc4c,j4a,j4b,j4c,c4a,c4b,c4c,T4_First Click,T4_Last Click,T4_Page Submit,T4_Click Count,grade,mcq-only,j-only,c-only,M+J+C check,new-j,MCQ-Grade,J-Grade,new.grade,score_check_p3ab
cerulean-chickpea,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,91.521,914.028,1743.603,12,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,178.043,469.083,471.37,11,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,363.194,1630.307,1633.801,19,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,128.62,405.164,408,11,90,20,16,0,36,16,100,80,90,45
chestnut-cilantro,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,80.449,146.109,211.276,6,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,129.229,268.657,272.256,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,400.099,863.18,894.604,10,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,186.594,505.611,509.248,17,85,20,14,0,34,14,100,70,85,52
eggplant-rutabaga,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,633.428,1895.995,1899.331,18,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,123.002,1142.742,1146.294,20,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,129.93,549.045,574.453,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,91.419,389.423,414.237,16,45,12,6,0,18,6,60,30,45,20
goldenrod-dill,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,460.906,794.528,832.093,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,70.048,505.985,521.937,17,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,407.084,779.347,783.833,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,232.181,530.536,539.373,20,90,20,16,0,36,16,100,80,90,49
lavender-asparagus,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,760.783,1398.781,1412.281,14,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,12.615,538.971,550.115,9,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,299.656,929.721,932.027,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,161.956,420.687,430.116,4,42.5,8,9,0,17,9,40,45,42.5,24
magenta-jalapeno,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,398.692,1179.897,1195.809,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.21,1530.561,1663.667,19,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,200.579,1225.607,1228.181,21,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,6.428,404.786,407.292,12,62.5,16,9,0,25,9,80,45,62.5,25
manatee-lime,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,495.688,1591.611,2235.354,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,41.346,838.925,841.141,17,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,33.442,583.972,587.059,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,136.49,579.13,582.73,14,95,20,18,0,38,18,100,90,95,41
melon-quince,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,81.385,144.404,180.374,9,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,97.485,167.02,187.334,10,3,1,2,0,1,0,0,2,0,0,2,0,0,0,0,76.823,120.119,126.57,7,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,78.669,244.266,246.191,13,50,12,8,0,20,8,60,40,50,26
peach-frisee,4,1,3,0,1,0,1,2,0,1,2,0,0,0,0,31.146,875.459,921.904,34,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,145.607,559.966,577.489,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,158.652,610.631,623.848,18,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,119.482,547.703,552.707,29,57.5,12,11,0,23,11,60,55,57.5,38
razzmatazz-artichoke,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,428.54,781.108,783.865,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,163.474,362.238,363.97,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,363.41,877.883,894.569,31,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,166.97,371.259,381.217,16,10,4,0,0,4,0,20,0,10,13
razzmatazz-cabbage,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,364.806,840.252,845.41,15,3,1,2,0,0,1,0,0,2,0,0,2,0,0,0,371.152,1001.481,1007.853,29,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,350.181,469.019,469.8,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,318.064,466.031,471.065,9,50,12,8,0,20,8,60,40,50,24
red-jambul,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,813.891,1133.255,1136.462,22,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,487.465,721.113,768.844,14,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,311.809,1319.731,1324.18,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65.436,388.517,401.494,29,45,12,6,0,18,6,60,30,45,25
red-radish,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,546.188,1190.4,1192.908,19,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,186.626,1124.69,1431,15,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,499.442,1342.215,1416.721,8,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,276.257,520.521,533.965,6,90,20,16,0,36,16,100,80,90,49
scarlet-gooseberry,6,5,1,3,1,1,1,0,0,1,0,0,0,0,0,205.844,718.813,721.479,28,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,71.766,528.294,555.072,32,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,2.704,630.321,647.344,31,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,52.335,496.488,528.897,38,67.5,16,11,0,27,11,80,55,67.5,43
sunglow-nectarine,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,301.646,1128.644,1212.928,38,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,68.184,499.668,501.468,32,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,24.766,559.843,561.557,18,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,166.065,327.027,328.839,23,90,20,16,0,36,16,100,80,90,49
tumbleweed-cranberry,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,254.535,744.978,751.033,21,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,59.711,317.637,341.569,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,238.397,537.531,553.914,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,95.256,323.627,338.768,16,90,20,16,0,36,16,100,80,90,56
violet-kumquat,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,91.813,117.755,264.871,8,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,66.003,202.119,302.121,10,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,190.532,625.23,668.317,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.484,333.813,348.348,28,72.5,16,13,0,29,13,80,65,72.5,44
yellow-eggplant,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,222.764,842.404,851.844,32,8,5,3,3,1,1,1,0,2,1,0,2,0,0,0,39.169,311.981,313.876,13,10,5,5,3,1,1,1,2,2,1,2,2,0,0,0,95.83,459.935,462.136,13,8,5,3,3,1,1,1,2,0,1,2,0,0,0,0,65.578,512.138,515.985,20,85,20,14,0,34,14,100,70,85,54
